,bat_order,player_id,player_name,how_out,minutes,runs,balls,fours,sixes,strike_rate,player,overs,maidens,runs_conceded,wickets,economy,dot_balls,extras,match_id,series_id,home_x,innings_no,innings_title,in_play,result,status,toss,home_scores,away_scores,home_y,away,venue,tournament,date,ipl_season
10502,,1887222.0,Mohammad Saifuddin,,,,,0.0,0.0,,,4.0,0.0,21.0,2.0,5.25,9.0,3.0,2547453,894,Bangladesh,2,Papua New Guinea Innings,No,Yes,Bangladesh won by 84 runs,"Bangladesh, elected to bat first",181/7,"97 (19.3/20 ov, target 182)",Bangladesh,Papua New Guinea,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),T20_W2021,2021-10-21,
10503,,992718.0,Mustafizur Rahman,,,,,1.0,2.0,,,4.0,0.0,34.0,0.0,8.5,6.0,1.0,2547453,894,Bangladesh,2,Papua New Guinea Innings,No,Yes,Bangladesh won by 84 runs,"Bangladesh, elected to bat first",181/7,"97 (19.3/20 ov, target 182)",Bangladesh,Papua New Guinea,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),T20_W2021,2021-10-21,
10504,,1615530.0,Taskin Ahmed,,,,,2.0,0.0,,,3.3,1.0,12.0,2.0,3.42,16.0,0.0,2547453,894,Bangladesh,2,Papua New Guinea Innings,No,Yes,Bangladesh won by 84 runs,"Bangladesh, elected to bat first",181/7,"97 (19.3/20 ov, target 182)",Bangladesh,Papua New Guinea,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),T20_W2021,2021-10-21,
10505,,168441.0,Shakib Al Hasan,,,,,0.0,0.0,,,4.0,0.0,9.0,4.0,2.25,15.0,0.0,2547453,894,Bangladesh,2,Papua New Guinea Innings,No,Yes,Bangladesh won by 84 runs,"Bangladesh, elected to bat first",181/7,"97 (19.3/20 ov, target 182)",Bangladesh,Papua New Guinea,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),T20_W2021,2021-10-21,
10506,,2499273.0,Mahedi Hasan,,,,,1.0,1.0,,,4.0,0.0,20.0,1.0,5.0,14.0,0.0,2547453,894,Bangladesh,2,Papua New Guinea Innings,No,Yes,Bangladesh won by 84 runs,"Bangladesh, elected to bat first",181/7,"97 (19.3/20 ov, target 182)",Bangladesh,Papua New Guinea,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),T20_W2021,2021-10-21,
10507,,,,,,,,,,,bowler,,,,,,,,2547453,894,Bangladesh,2,Papua New Guinea Innings,No,Yes,Bangladesh won by 84 runs,"Bangladesh, elected to bat first",181/7,"97 (19.3/20 ov, target 182)",Bangladesh,Papua New Guinea,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),T20_W2021,2021-10-21,
10508,1.0,2821791.0,Aqib Ilyas,c Munsey b Leask,42,37.0,35.0,3.0,2.0,105.71,,,,,,,,,2547455,894,Oman,1,Oman Innings,No,Yes,Scotland won by 8 wkts (18b rem),"Oman, elected to bat first",122,"123/2 (16.6/20 ov, target 123)",Oman,Scotland,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1) (night),T20_W2021,2021-10-21,
10509,2.0,923280.0,Jatinder Singh,run out (Watt/Cross),5,0.0,1.0,0.0,0.0,0,,,,,,,,,2547455,894,Oman,1,Oman Innings,No,Yes,Scotland won by 8 wkts (18b rem),"Oman, elected to bat first",122,"123/2 (16.6/20 ov, target 123)",Oman,Scotland,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1) (night),T20_W2021,2021-10-21,
10510,3.0,3830169.0,Kashyap Prajapati,c Munsey b Sharif,12,3.0,8.0,0.0,0.0,37.5,,,,,,,,,2547455,894,Oman,1,Oman Innings,No,Yes,Scotland won by 8 wkts (18b rem),"Oman, elected to bat first",122,"123/2 (16.6/20 ov, target 123)",Oman,Scotland,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1) (night),T20_W2021,2021-10-21,
10511,4.0,125964.0,Mohammad Nadeem,c Berrington b Watt,41,25.0,21.0,0.0,2.0,119.04,,,,,,,,,2547455,894,Oman,1,Oman Innings,No,Yes,Scotland won by 8 wkts (18b rem),"Oman, elected to bat first",122,"123/2 (16.6/20 ov, target 123)",Oman,Scotland,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1) (night),T20_W2021,2021-10-21,
